Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
Basket VR;Basket VR v2+0.2 -unknown;com.realdragon.basketlittle;2;2021-06-02 20:22 UTC;79
Beat Blaster;Beat Blaster v9+1.0 -QU;com.IvanovichGames.BeatBlasterVR;9;2021-08-23 07:38 UTC;864
Beat Saber;Beat Saber v250+1.17.1 -FFA (All DLC + BMBF);com.beatgames.beatsaber;250;2021-10-13 13:01 UTC;1961
Beat Saber;Beat Saber v269+1.19.0 -FFA (With DLC);com.beatgames.beatsaber;269;2021-12-12 15:10 UTC;2118
Big Ballers Basketball;Big Ballers Basketball v861+2021.11.31 -FFA;com.dogelabs.bigballersbasketball;861;2021-12-13 14:46 UTC;445
Big Bat VR;Big Bat VR v4+1.0 -FFA;com.AVRspot.BigBatVR;4;2021-10-16 04:04 UTC;308
Big Breezy Boat;Big Breezy Boat v189+1.0.189 -VRP;com.marineverse.morequest;189;2021-10-21 13:51 UTC;643
Bionic Hunter;Bionic Hunter v6+2.5 -FFA;com.AnomosStudios.BionicHunter;6;2021-11-09 14:07 UTC;1388
Black Hole Pool;Black Hole Pool v203008+2.3.8 -FFA;com.el.blackholepool;203008;2021-12-21 02:05 UTC;319
Blade & Sorcery - Nomad;Blade & Sorcery - Nomad v50+10.2 -FFA;com.Warpfrog.BladeAndSorcery;50;2021-11-25 14:17 UTC;4343
Blair Witch;Blair Witch v49+1.46 -FFA;pl.bloober.blairwitch;49;2021-10-16 04:04 UTC;3874
Blaston;Blaston v113124478+1.13.124478 -VRP;com.resolutiongames.ignis;113124478;2021-10-01 18:09 UTC;461
Blockami VR;Blockami VR v1+0.1 -unknown;com.aardVRk.blockami;1;2021-06-02 20:22 UTC;161
Blueplanet VR Explore;Blueplanet VR Explore v7+7 -QU;com.blueplanetvr.blueplanetvr_explore_alpha;7;2021-06-02 20:22 UTC;18126
Bodyguard 2;Bodyguard 2 v1+1.5 -unknown;com.studio3DD.bodyguard2;1;2021-06-02 20:23 UTC;182
Bonfire;Bonfire v542+1.0.542 -QU;com.baobab.bonfire;542;2021-06-02 20:22 UTC;420
