Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
Guardians;Guardians v129+0.10.7 -FFA;com.VirtualAge.Guardians;129;2021-12-01 00:17 UTC;2248
Guided Meditation VR;Guided Meditation VR v201390+1.3.90 -FFA;com.CubicleNinjas.GuidedMeditationVRQuest;201390;2021-12-01 00:17 UTC;6614
Guided Tai Chi;Guided Tai Chi v1235+1.2.35 -unknown;com.CubicleNinjas.GuidedTaiChi;1235;2020-10-19 14:35 UTC;1920
Gun Club VR;Gun Club VR v273+1.2.92.30 -QU;com.nextgenreality.GunClubVR;273;2021-11-11 16:11 UTC;1182
GunSpinning VR;GunSpinning VR v1+2.0 -unknown;net.demonixis.gunspinningvr;1;2021-06-02 20:22 UTC;238
GunWorld VR;GunWorld VR v58+1.0 -FFA;com.AnthonyStudios.GunWorldVR;58;2021-12-21 02:13 UTC;1558
Guns'n'Stories - Bulletproof VR;Guns'n'Stories - Bulletproof VR v155+1.0 -QU (b);com.MiroWin.OMT;155;2021-02-11 14:12 UTC;975
HALLO EINSTEIN;HALLO EINSTEIN v4+0.1 -FFA;com.MasamiKuroki.HALLO_EINSTEIN;4;2021-10-13 13:18 UTC;88
Half-Life 1 VR - Blue Shift ;Half-Life 1 VR - Blue Shift  v27+1.4.9 -DrBeef;com.drbeef.lambda1vr;27;2021-09-19 14:42 UTC;1709
Half-Life 1 VR - Opposing Force;Half-Life 1 VR - Opposing Force v27+1.4.9 -DrBeef;com.drbeef.lambda1vr;27;2021-09-19 14:40 UTC;2021
Half-Life 1 VR;Half-Life 1 VR v27+1.4.9 -DrBeef;com.drbeef.lambda1vr;27;2021-09-19 14:39 UTC;726
Hand Physics Lab;Hand Physics Lab v248+1.1.0.0102 -QU;com.holonautic.HandPhysicsLab;248;2021-05-31 20:54 UTC;160
Hand Spell;Hand Spell v1+1.0 -VRP;com.KOSMIQ.HANDSPELL;1;2021-10-01 16:39 UTC;160
Hatsune Miku VR;Hatsune Miku VR v10+3.01 -QU (with DLC);jp.co.crypton.mikuvrq;10;2021-06-02 20:23 UTC;1082
Hermetika VR;Hermetika VR v9+0.9 -VRP;am.benth.hermetikavr;9;2021-09-19 14:39 UTC;43
HeroBound 2;HeroBound 2 v8+1.5.1 -unknown;com.oculus.herobound2;8;2021-06-02 20:22 UTC;365
Hockey VR;Hockey VR v13+1.0.4 -VRP;ca.melcher.hockeyvr;13;2021-11-06 01:44 UTC;854
Holopoint;Holopoint v132+R1.1.08 -VRP;com.AlzanStudios.HPPortable;132;2021-08-19 23:46 UTC;135
Home Plate Baseball;Home Plate Baseball v43+4.3 -VRP;com.Beep2Bleep.HomePlateBaseball;43;2021-10-01 17:59 UTC;100
Homestar VR - Special Edition;Homestar VR - Special Edition v41+1.03 -QU;com.pocket.homestarvrsp;41;2021-06-02 20:22 UTC;301
Homestar VR;Homestar VR v64+1.32 -QU;com.pocket.homestarvr;64;2021-06-02 20:23 UTC;208
Hoops Madness;Hoops Madness v5+1.0.0 -QU;com.VRstudios.HoopsMadness;5;2021-06-02 20:23 UTC;320
Horror Nights Story;Horror Nights Story v11+0.1 -QU;cz.paperbunker.horrornights.quest;11;2021-06-11 16:13 UTC;77
House Of Languages;House Of Languages v14+3.3.3 -unknown;com.Fox3DGames.HouseOfLanguages;14;2021-06-02 20:22 UTC;157
HouseFlipper VR;HouseFlipper VR v93+9.3 -FFA;com.oculus.HouseFlipperVR;93;2021-12-21 02:13 UTC;155
Human Anatomy Puzzle;Human Anatomy Puzzle v12+0.9.3 -QU;com.mgdigital.AnatomyPuzzle;12;2021-06-04 22:41 UTC;114
Hyper Dash;Hyper Dash v495+1.22.5 -FFA;com.TriangleFactory.HyperDash;495;2021-12-09 15:57 UTC;1267
Hyperstacks;Hyperstacks v13+Alpha0.7.2 -VRP;com.SquirrelBytes.Hyperstacks;13;2021-10-16 03:32 UTC;158
I Expect You To Die 2;I Expect You To Die 2 v171176+1.0.0.171176 -VRP;com.schellgames.ieytd2;171176;2021-09-19 14:08 UTC;685
I Expect You To Die;I Expect You To Die v74681+1.1.174681 -VRP;com.schellgames.ieytdquest;74681;2021-11-12 05:50 UTC;542
Imercyve - Living with Intellectual Disability;Imercyve - Living with Intellectual Disability v19+1.0 -QU;com.VGH.ID;19;2021-06-02 20:23 UTC;591
In Death - Unchained;In Death - Unchained v57327238+1.4.5 -FFA;com.Solfar.InDeath;57327238;2021-11-25 14:18 UTC;1793
In da Hoop!;In da Hoop! v109+1.2.38 -FFA;io.rc.gba;109;2021-10-16 04:18 UTC;182
Iron Rebellion;Iron Rebellion v54+.9184 -FFA;com.Black_Beach_Studio.Iron_Rebellion_VR;54;2021-12-09 15:58 UTC;368
Ironlights;Ironlights v155+155 -FFA;com.emcneill.Ironlights;155;2021-11-11 16:12 UTC;656
Izzys Beach Games VR;Izzys Beach Games VR v3+3 -VRP;com.nolodesign.Beach_Games;3;2021-09-24 13:47 UTC;264
Jentrix;Jentrix v34+0.4.7 -VRP;com.SpheroomLimited.Jentrix;34;2021-09-24 13:47 UTC;553
Jigsaw 360;Jigsaw 360 v66+4.0.1 -VRP;com.JumbliVR.Jigsaw360;66;2021-09-24 13:47 UTC;342
Jigsaw Puzzle VR;Jigsaw Puzzle VR v20+1.04 -QU;com.Marrsbiz.JigsawPuzzleVR;20;2021-06-02 20:23 UTC;141
Job Simulator;Job Simulator v40+1.4.0.4681 -VRP;com.owlchemylabs.jobsimulator;40;2021-08-20 01:06 UTC;967
Journey of the Gods;Journey of the Gods v479431+1.0.479431 -QU;gg.trs.grappa;479431;2021-06-02 20:23 UTC;955
Jurassic World Aftermath;Jurassic World Aftermath v35685+v2.1 -VRP (Includes Part 2);com.coatsink.alone;35685;2021-10-07 12:15 UTC;1221
Just Drive;Just Drive v1+1.0 -unknown;com.JustDrive.JustDrive;1;2021-10-24 19:14 UTC;562
KOTC VR Basketball;KOTC VR Basketball v1+0.1 -unknown;com.millennialdave.kotcvrbball;1;2021-06-02 20:22 UTC;135
Keep Talking and Nobody Explodes;Keep Talking and Nobody Explodes v59+1.9.22 -QU;com.steelcrategames.keeptalkingandnobodyexplodes;59;2021-06-02 20:22 UTC;143
Kid Setas;Kid Setas v1+0.1 -unknown;com.realdragonvr.setas;1;2021-06-02 20:22 UTC;66
Kingdom of Blades;Kingdom of Blades v1+1.0.0 -unknown;com.chesstar.KingdomOfBlades.itch;1;2021-06-02 20:22 UTC;276
Kingspray Graffiti;Kingspray Graffiti v725+71.5 (b) -QU;com.infectiousape.kingspray;725;2021-06-02 20:23 UTC;1365
KitchenIslandVR;KitchenIslandVR v2+0.2 -QU;com.VRBuddyGames.KitchenIslandVR;2;2021-05-31 21:24 UTC;569
Knockout League;Knockout League v34+1.0 -QU;com.grab.knockout;34;2021-06-02 20:23 UTC;1007
Laid-Back Camp - Virtual - Lake Motosu;Laid-Back Camp - Virtual - Lake Motosu v5+1.2.0 -VRP;jp.co.gemdrops.lbcb_q;5;2021-09-19 14:37 UTC;157
Larcenauts;Larcenauts v119630+1.40328 -FFA;com.ImpulseGear.Firestorm;119630;2021-12-14 12:52 UTC;4489
Laser Blaze;Laser Blaze v1+1.0.0 -unknown;cz.bkral.LaserBlaze;1;2021-06-02 20:22 UTC;220
Last Labyrinth;Last Labyrinth v34+1.02 -QU;jp.co.amata.lastlabyrinth;34;2021-06-02 20:22 UTC;1768
Layers of Fear VR;Layers of Fear VR v36+2.0 -QU;com.bloober.layersoffearvr;36;2021-06-02 20:22 UTC;1804
Legendary Hunter VR;Legendary Hunter VR v5+1.5 -FFA;com.FrozenDreams.legendaryhuntervr;5;2021-11-25 14:18 UTC;255
Let's Go Chopping;Let's Go Chopping v2+.2 -unknown;com.SoaringRocStudio.LetsGoChopping;2;2021-06-02 20:23 UTC;307
Let's Play with Anna!;Let's Play with Anna! v1+1.0 -unknown;com.vrjcc.AnnaU;1;2021-06-02 20:22 UTC;352
Lets Create! Pottery VR;Lets Create! Pottery VR v670+1.12 -QU;com.idreams.potteryvrq;670;2021-06-02 20:22 UTC;209
Lies Beneath;Lies Beneath v55578+1.0-55578 -QU;com.Drifter.Kodiak;55578;2021-06-02 20:23 UTC;1771
Little Witch Academia - VR Broom Racing;Little Witch Academia - VR Broom Racing v827+1.3.0 -VRP;com.UNIVRS.LWAVR;827;2021-10-17 19:45 UTC;1965
Loco Dojo Unleashed;Loco Dojo Unleashed v69+69 -FFA;com.makereal.LocoDojoQuest;69;2021-11-23 02:29 UTC;1069
LoopSpace;LoopSpace v11+0.9.3 -QU;com.Chesstar.LoopSpace.Quest;11;2021-05-31 21:29 UTC;219
Lucky's Tale;Lucky's Tale v42+1.0.53 -FFA;com.playful.LuckysTale;42;2021-11-20 18:00 UTC;3746
Luna;Luna v8+8 -QU;com.funomena.luna;8;2021-12-09 16:00 UTC;735
METAL MULTIBALL;METAL MULTIBALL v50+1.50 -QU;com.SteveHinanPresents.MetalMultiball;50;2021-06-10 22:40 UTC;169
MLB VR;MLB VR v6+1.0 -VRP;com.mlb.HomeRunDerbyVR_Quest_Lab;6;2021-08-17 13:06 UTC;995
MVP Football - The Patrick Mahomes Experience;MVP Football - The Patrick Mahomes Experience v2113+0.1.0.2113 -FFA;com.citylightsvr.patmahomes;2113;2021-10-17 12:47 UTC;483
Madrid Noir;Madrid Noir v120+1.1.2 -ITCH;com.noghost.madridnoirvr;120;2021-10-14 02:21 UTC;695
Mafia Bowling;Mafia Bowling v58+2.0.38 -FFA;com.proeminentcode.mafiabowling;58;2021-10-16 04:03 UTC;478
MageVR;MageVR v5+1.6.0 -VRP;com.dengxianxr.magevr16;5;2021-07-08 17:13 UTC;900
Mare;Mare v31+31 -QU;com.VisionTrick.Mare;31;2021-06-02 20:22 UTC;912
MarineVerse Cup;MarineVerse Cup v515+0.515 -FFA;com.marineverse.cup;515;2021-11-09 14:13 UTC;753
Medal of Honor™ - Above and Beyond;Medal of Honor™ - Above and Beyond v12297+0.518 -FFA;com.Virtuos.R6DLM;12297;2021-11-16 01:41 UTC;43890
Mini Motor Racing X;Mini Motor Racing X v124+1.3.5 -QU;com.nextgenreality.mmrx;124;2021-06-02 20:22 UTC;1980
Modulia Studio;Modulia Studio v6+1.0.5 -FFA;com.TheremixTech.ModuliaStudio;6;2021-10-19 16:10 UTC;372
Molecule Builder;Molecule Builder v5+1.0.447 -QU;com.Xennial.Molecules;5;2021-06-23 16:49 UTC;166
Mondly - Practice Languages in VR;Mondly - Practice Languages in VR v50002+5.0.2 -VRP;com.ATiStudios.LearnLanguagesVRbyMondly;50002;2021-12-14 12:49 UTC;383
Monolith;Monolith v1+0.1 -unknown;com.n.monolith;1;2021-06-02 20:23 UTC;328
Morels - Homestead;Morels - Homestead v55+1.01 -FFA;com.AbramsStudios.Morels.Homestead;55;2021-12-21 02:14 UTC;1546
Moss;Moss v22600+1.0.0.22600 -Q2Patched-90Hz-CustomRes -QU;com.polyarc.MossGame;22600;2021-06-02 20:22 UTC;2747
MotoX;MotoX v6+4.0 -FFA;com.EnverStudios.MotoX;6;2021-10-21 13:00 UTC;1120
Mr. Scribbles;Mr. Scribbles v1+0.1 -unknown;com.oculus.mrscribbles;1;2021-06-02 20:23 UTC;216
Mutated Virus;Mutated Virus v19+2.5 -FFA;com.AnomosStudios.MutatedVirus;19;2021-11-06 01:52 UTC;1291
Myst;Myst v330+1.3.0 -VRP;com.CyanWorlds.Myst;330;2021-08-20 18:53 UTC;10217
Myth - A Frozen Tale;Myth - A Frozen Tale v31+1.0 -QU;com.WaltDisney.MythAFrozenTale;31;2021-06-02 20:22 UTC;580
NES Space;NES Space v5+1.0.4 -VRP;com.Chesstar.NesVR.QuestItch;5;2021-09-24 13:47 UTC;238
National Geographic Explore VR;National Geographic Explore VR v674692+1.2.1 -VRP;com.forcefieldxr.explorevr;674692;2021-06-02 20:23 UTC;3732
Nature Treks VR;Nature Treks VR v24+1.24 -FFA;com.GreenerGames.QuestTreks;24;2021-12-14 12:52 UTC;668
Neon Blast VR;Neon Blast VR v31+1.0 -QU;com.Raptorsgames.NeonBlast;31;2021-06-11 16:12 UTC;77
Neon Kite;Neon Kite v12+0.4.2.4 -FFA;com.VirtualProjection.NeonKite;12;2021-11-25 14:19 UTC;116
Neon Sprint;Neon Sprint v17+1.0.4 -FFA;com.chesstar.NeonSprint.Quest;17;2021-10-13 13:18 UTC;198
Nikakudori;Nikakudori v3+1.0.0 -QU;jp.co.dazzlesystem.nikakudoriVR;3;2021-06-11 16:17 UTC;198
Ninja Legends;Ninja Legends v1084+1.0.1084 -QU;com.coinflip.ninja;1084;2021-06-02 20:22 UTC;383
OPERATION SERPENS;OPERATION SERPENS v210312+1.2103.12 -FFA;com.GINRATECH.OPERATIONSERPENS;210312;2021-10-13 02:29 UTC;600
Ocean Rift;Ocean Rift v55+1.68 -Q2Patched-90Hz -QU;com.picselica.OceanRiftFullQuest;55;2021-06-02 20:23 UTC;435
OceanCraft;OceanCraft v59+v0.5.8 -FFA;com.FlodLab.OceanCraft;59;2021-10-29 14:21 UTC;79
OhShape;OhShape v190+1.9.0 -QU;com.odders.ohshape;190;2021-07-15 12:41 UTC;489
Omega Blade;Omega Blade v1203+1.2.0 -QU;com.paramogames.omegablade;1203;2021-06-02 20:22 UTC;337
On Target VR Darts;On Target VR Darts v80+1.0.0 -VRmoo;com.ColugoProductionsInc.OnTargetVRDarts;80;2021-08-17 13:03 UTC;322
OnStage Simulator;OnStage Simulator v1+0.72 -unknown;com.COMPOS3D.OnStage;1;2021-06-02 20:22 UTC;114
Onward;Onward v10362+1.0 -FFA;com.downpourinteractive.onward;10362;2021-12-12 15:13 UTC;3338
Operation Warcade;Operation Warcade v15+1.0 -QU;com.ivanovichgames.operationwarcade;15;2021-06-21 16:25 UTC;764
Oxygen Dreams;Oxygen Dreams v37+1.01 -VRP;com.Fguillotine.OxygenDreamsQuest;37;2021-09-24 13:48 UTC;82
Paint it Back;Paint it Back v12+1.0 -FFA;com.solaair.paintitback;12;2021-12-09 16:03 UTC;1588
Painting VR;Painting VR v34+.398 -FFA;com.Oisoi.PaintingVr;34;2021-11-11 16:13 UTC;158
Pandemic by Prisms;Pandemic by Prisms v180+0.5.61 -QU;com.prismsvr.pandemicbyprisms;180;2021-06-02 20:22 UTC;889
Pangman;Pangman v15+1.0 -QU;com.IvanovichGames.BeatBlaster;15;2021-06-11 16:13 UTC;271
Paper Birds - Part I & II;Paper Birds - Part I & II v72+1 -VRP;com.ThreeDAR.PaperBirdsQuest;72;2021-09-26 22:19 UTC;6945
Paranormal Activity - The Lost Soul;Paranormal Activity - The Lost Soul v28+1.2 -FFA;com.vrwerx.paranormalactivity;28;2021-12-13 14:47 UTC;2847
Paranormal Detective - Escape From the 80's;Paranormal Detective - Escape From the 80's v22+2.2 -FFA;com.LunaBeat.Escape80s;22;2021-12-21 02:24 UTC;1497
Path of the Warrior;Path of the Warrior v498+21.11.10.358057 -FFA;com.twistedpixelgames.POTW_App;498;2021-11-17 06:00 UTC;1802
PePiBo - Peregrino Pinata Bowling;PePiBo - Peregrino Pinata Bowling v2+2 -QU;com.toritogames.pepibo;2;2021-06-02 20:22 UTC;401
Peco Peco;Peco Peco v8017+0.8.17 -VRP;am.benth.pecopeco;8017;2021-10-01 16:40 UTC;26
Penn & Teller VR - F U, U, U, & U;Penn & Teller VR - F U, U, U, & U v1960571+1.0 -QU (b);com.GearboxSoftware.Hawthorn;1960571;2021-06-02 20:22 UTC;1853
Percussive VR;Percussive VR v2+1.4 -QU;games.jamhack.PercussiveVR.Oculus;2;2021-06-02 20:22 UTC;152
Perpetuum Mobile;Perpetuum Mobile v83+1.5.6 -QU;be.PetrusGames.PerpetuumMobile;83;2021-06-02 20:22 UTC;101
Phantom - Covert Ops;Phantom - Covert Ops v49563+1.1 -QU;com.nDreams.PhantomQuest;49563;2021-06-02 20:23 UTC;3541
PhysHand;PhysHand v2+0.1.1 -unknown;com.JorgeJGnz.PhysHand;2;2021-06-02 20:22 UTC;66
Pickup Basketball VR;Pickup Basketball VR v944+1.0 -VRP;com.ColliderGames.PickUpBasketballVRQL;944;2021-10-11 02:01 UTC;463
Pierhead Arcade 2;Pierhead Arcade 2 v145+2.1.45 -FFA;com.mechabit.quest.pierheadarcade2;145;2021-12-21 02:15 UTC;561
Pigasus VR Media Player;Pigasus VR Media Player v82+3.4.4 -FFA;com.hanginghatstudios.pigasus;82;2021-11-11 16:13 UTC;83
Pigeons;Pigeons v19+9 -VRP;com.mekiwi.vrpigeons;19;2021-08-17 12:53 UTC;54
Pinball FX2 VR;Pinball FX2 VR v20+1.1.0 -VRP (no DLC);com.zenstudios.PinballFX2VRQuest;20;2021-10-07 11:28 UTC;533
Pipe Dream Co.;Pipe Dream Co. v5+1.11.50 -QU;com.FieldOfVision.PipeDreamCo;5;2021-06-02 20:22 UTC;79
Pirates on Deck VR;Pirates on Deck VR v2+1.0 -VRP;com.boltvirtual.piratesondeck;2;2021-10-01 18:03 UTC;118
Pistol Whip;Pistol Whip v846+1.5.38.3 -VRP;com.cloudheadgames.pistolwhip;846;2021-08-24 02:25 UTC;1229
Pixel Ripped 1995;Pixel Ripped 1995 v108+108 -FFA;io.arvore.pixelripped1995;108;2021-10-16 04:02 UTC;644
Player 22 by Rezzil;Player 22 by Rezzil v339+1.1.52 -FFA;com.Rezzil.Quest;339;2021-12-13 14:47 UTC;1312
Please, Don't Touch Anything;Please, Don't Touch Anything v1312+2.1 -unknown;com.ForwardXP.nuke;1312;2021-06-02 20:22 UTC;275
Poly Star VR;Poly Star VR v15+1.0 -FFA;com.Newmatic.Polystar;15;2021-10-13 02:29 UTC;328
Pop Shot;Pop Shot v1+1.0 -unknown;com.PixelBoogie.PopShotQuest;1;2021-06-02 20:22 UTC;831
Pops;Pops v25+1.0i -VRP;com.MicrobeGames.Pops;25;2021-08-17 12:53 UTC;98
Potato Party - Hash It Out;Potato Party - Hash It Out v200017+0.72.0 -VRP;com.Fanaticus.PotatoParty1;200017;2021-08-17 12:53 UTC;357
PowerBeatsVR;PowerBeatsVR v42+3.0.1 -FFA;com.FiveMindCreationsUGhaftungsbeschrnkt.PowerBeatsVR;42;2021-12-09 16:03 UTC;829
Prison Boss VR;Prison Boss VR v37+1.6.0.16 -QU;com.Trebuchet.PrisonBossVR;37;2020-12-14 19:20 UTC;470
Private Agent;Private Agent v5+1.3 -QU;com.Nottie.PrivateAgent;5;2021-06-01 08:04 UTC;843
Project TERMINUS VR;Project TERMINUS VR v474+1.5.0 -FFA;com.cvr.terminus;474;2021-11-09 14:14 UTC;2096
ProjectZ;ProjectZ v45+1.1.0 -QU;com.slindev.projectz;45;2021-06-01 08:17 UTC;218
Pteranodon's Flight;Pteranodon's Flight v1+1.0 -unknown;com.VictoryXR.PteranodonsFlight;1;2021-06-02 20:23 UTC;376
Pub Darts;Pub Darts v200002+1.0 -QU;com.Ardooly.PubDarts;200002;2021-06-02 20:23 UTC;111
Puzzle Bobble VR - Vacation Odyssey;Puzzle Bobble VR - Vacation Odyssey v262456+1.0 -FFA;com.survios.bam;262456;2021-11-02 13:55 UTC;1183
Puzzling Paths;Puzzling Paths v17+1.0 -VRP;com.WeirdEyeStudios.PuzzlingPaths;17;2021-09-19 14:32 UTC;193
Puzzling Places;Puzzling Places v66+1.31 -FFA (Q2 only);com.RealitiesIO.puzzlingPlaces;66;2021-11-11 16:13 UTC;9702
Quake2Quest;Quake2Quest v18+1.0.7 -DrBeef;com.drbeef.quake2quest;18;2021-08-17 12:52 UTC;538
QuakeQuest;QuakeQuest v16+1.4.8 -DrBeef;com.drbeef.quakequest;16;2021-08-17 12:52 UTC;65
Quest for Runia;Quest for Runia v13+1.0 -QU;com.Cykyria.QuestForRunia;13;2021-06-02 20:23 UTC;1387
QuestZDoom Pack;QuestZDoom Pack v29+1.3.0 -DrBeef;com.drbeef.questzdoom;29;2021-08-17 12:52 UTC;111
RESONARK X LITE;RESONARK X LITE v10100002+1.0.1b -QU;com.sepnekoya.ResonarkXLite;10100002;2021-06-02 20:23 UTC;238
RUSH;RUSH v282+1.2.1 -VRP;com.nextgenreality.rush;282;2021-01-19 15:24 UTC;684
Raccoon Lagoon;Raccoon Lagoon v235238+1.0 -QU (b);com.hiddenpath.phoenix;235238;2021-06-02 20:22 UTC;1689
Race for Fun;Race for Fun v13+0.8 -VRP;com.RaptorsGames.RaceForFun;13;2021-10-16 03:29 UTC;1210
Racket - Nx;Racket - Nx v171+2.3.28 -FFA;com.onehamsa.RNXQ;171;2021-12-09 16:07 UTC;418
Racket Fury - Table Tennis VR;Racket Fury - Table Tennis VR v712+7.1.2 -QU;com.RacketFury.RF_GearVR;712;2021-06-02 20:22 UTC;379
Radial-G - Proteus;Radial-G - Proteus v29+0.1 -QU;com.Things3D.RadialGProteus;29;2021-06-02 20:22 UTC;566
Ragnarock;Ragnarock v43+1.1.1 -FFA;com.wanadev.ragnarockquest;43;2021-11-26 15:22 UTC;2036
Rainbow Reactor - Fusion;Rainbow Reactor - Fusion v107+1.0.4 -FFA;com.Tunermaxx.RiseoftheRainbowReactor;107;2021-11-23 02:30 UTC;564
RamCastle;RamCastle v3+3.1 -VRP;com.curiousvr.ramcastle;3;2021-10-17 19:46 UTC;94
Range Day VR;Range Day VR v14+1.18 -QU;com.InvidiousStudios.RangedayVRQ;14;2021-06-02 20:22 UTC;2515
Real VR Fishing - Beta;Real VR Fishing - Beta v114+1.523 -VRP (all maps unlocked);com.Miragesoft.RealVrFishingBeta;114;2021-09-19 14:30 UTC;671
Real VR Fishing;Real VR Fishing v161+2.016 -FFA;com.Miragesoft.RealVrFishingQ;161;2021-11-20 18:03 UTC;924
Realfit;Realfit v110+2021.9.1632412272 -FFA;co.realfit.RealFit;110;2021-10-25 13:47 UTC;220
Realms of Eternity;Realms of Eternity v11+0.6.4 -VRP;com.VRKemono.RealmsofEternity;11;2021-10-16 03:33 UTC;590
Red Matter;Red Matter v32+1.0.009 -Q2Patched-90Hz -QU;com.VerticalRobot.RedMatter;32;2021-06-02 20:23 UTC;1423
Reflex Unit 2;Reflex Unit 2 v406+4.3 -FFA;com.robosarugames.reflexunit2Lab;406;2021-10-29 14:21 UTC;531
Refuge VR;Refuge VR v1+0.1 -unknown;com.Meditation.RefugeVRv1;1;2021-06-02 20:22 UTC;1846
Resident Evil 4;Resident Evil 4 v119+1.0 -VRP;com.Armature.VR4;119;2021-10-21 14:54 UTC;8202
Resilience;Resilience v20+1.0.8042 -QU;com.scale1.resilience;20;2021-05-31 21:25 UTC;114
Resist;Resist v173+1.0.173 -FFA;com.nextgenreality.resist;173;2021-12-12 15:13 UTC;1121
Rest In Pieces;Rest In Pieces v37+1.35 -QU;com.StormingTech.RestInPiecesSQ;37;2021-06-02 20:23 UTC;877
Return to Castle Wolfenstein;Return to Castle Wolfenstein v48+1.2.0 -DrBeef;com.drbeef.rtcwquest;48;2021-11-09 22:39 UTC;1361
Revolver Widow;Revolver Widow v3+1.2 -QU;com.StudioPoncho.Pinkertons;3;2021-10-26 00:10 UTC;418
Rez Infinite;Rez Infinite v41+41.0 -unknown;com.enhanceexperience.rezquest;41;2021-06-02 20:22 UTC;618
Rhythm of the Universe - Ionia;Rhythm of the Universe - Ionia v11129+19.0 -FFA;com.ROTU.Ionia;11129;2021-11-09 14:15 UTC;3757
Rhythm of the Universe - Ionia;Rhythm of the Universe - Ionia v11129+19.0 -FFA;com.ROTU.Ionia;11129;2021-11-09 14:15 UTC;3757
Richie's Plank Experience;Richie's Plank Experience v216+1.9.1 -FFA;com.ToastVR.RichiesPlankExperience;216;2021-12-09 16:07 UTC;506
Robo Recall - Unplugged;Robo Recall - Unplugged v47091+1.0 -Q2Patched-90Hz -QU;com.YourCompany.RoboRecall;47091;2021-06-02 20:23 UTC;3624
RoboWreckersVR;RoboWreckersVR v12+1.32 -QU;com.EdgarJLopez.RoboWreckersVR;12;2021-10-04 21:46 UTC;335
Rodent People - Origins;Rodent People - Origins v13+v0.58 -QU;com.ZenRepublic.RodentPeopleOrigins;13;2021-07-08 17:03 UTC;297
République VR;République VR v127622+1.2 -QU (b);com.camouflaj.republiquevr;127622;2021-06-02 20:22 UTC;3826
SETVR;SETVR v37+1.61 -QU;com.DVNCTech.SETVR;37;2021-06-01 07:19 UTC;873
SKYBOX VR Video Player;SKYBOX VR Video Player v465+1.1.0 -FFA;xyz.skybox.player.ovr;465;2021-12-09 16:04 UTC;140
SPHERES;SPHERES v41+1.41 -FFA;com.Novelab.Spheres;41;2021-11-11 22:15 UTC;1818
STRIDE;STRIDE v82+1.3 -FFA;com.JoyWay.Stride;82;2021-12-21 02:19 UTC;103
SUPERHOT VR;SUPERHOT VR v152+1.152 -VRP;unity.SUPERHOT_Team.SUPERHOT_VR_QA;152;2021-08-20 01:09 UTC;571
Sairento VR - Untethered;Sairento VR - Untethered v223+1.9.5 -VRP;com.mixedrealms.sairentovruntethered;223;2021-08-21 22:54 UTC;1959
Sam and Max - This Time It's Virtual!;Sam and Max - This Time It's Virtual! v247+1.0.2 -VRP;com.happygiant.sammaxvr;247;2021-09-28 21:57 UTC;1335
SculptrVR;SculptrVR v198+2.99 -VRP;com.sculptrvrinc.sculptrvrapp;198;2021-08-29 12:33 UTC;348
Secret of Harrow Manor 2;Secret of Harrow Manor 2 v32+0.32 -QU;com.OnlyHuman.SoHM2vr;32;2021-07-16 19:55 UTC;1462
Sep's Diner;Sep's Diner v23+8892 -FFA;com.scale1.sepsdinerSolo;23;2021-11-09 14:15 UTC;508
Shadow Point;Shadow Point v43+1.1 -QU (b);com.coatsink.nexus;43;2021-06-02 20:22 UTC;969
Shadowgate VR - The Mines of Mythrok;Shadowgate VR - The Mines of Mythrok v44+1.0.44 -FFA;com.Zojoi.ShadowgateVR;44;2021-12-21 02:17 UTC;1132
Shelley's Creation;Shelley's Creation v4+0.75 -QU;com.sciencevr.shelley.quest;4;2021-06-02 20:23 UTC;574
Shinobi Breaker;Shinobi Breaker v35+1.1 -QU;com.Donuts.InfinityBreaker;35;2021-06-02 20:22 UTC;91
Shooting Therapy;Shooting Therapy v2+0.2 -QU;com.NoFlinch.ShootingTherapy;2;2021-05-31 20:51 UTC;113
Shoottris;Shoottris v3+1.011 -QU;com.palvesoft.ShoottrisQuest;3;2021-06-02 20:22 UTC;99
Shooty Fruity;Shooty Fruity v18+1.0 -QU;com.ndreams.shootyfruity;18;2021-06-02 20:22 UTC;2772
Shooty Skies Overdrive;Shooty Skies Overdrive v85270+1.10.85270 -VRP;com.mightygamesgroup.shootyvr;85270;2021-08-17 12:48 UTC;291
Shuttle Commander;Shuttle Commander v64+0.64 -QU (b);com.ivre.ssc;64;2021-06-02 20:23 UTC;1025
SimplePlanes VR;SimplePlanes VR v100+1.12.118 -FFA;com.jundroo.SimplePlanesVR;100;2021-12-21 02:07 UTC;148
Skyworld - Kingdom Brawl;Skyworld - Kingdom Brawl v32+1.22 -QU;com.vertigogames.skyworldbrawl;32;2021-06-02 20:22 UTC;237
SlashMates;SlashMates v1+0.04 -unknown;com.VRight.Slashmates;1;2021-06-02 20:23 UTC;231
Smash Drums;Smash Drums v137+2.0.2 -FFA;com.PotamWorks.SmashDrums;137;2021-12-21 02:17 UTC;920
Smashmania;Smashmania v1+0.4 -unknown;ltd.getschwifty.smashmania.demo;1;2021-06-02 20:23 UTC;209
Snake In a Box;Snake In a Box v56+5.6 -unknown;com.dofdev.SnakeInABox;56;2021-06-02 20:22 UTC;62
Snakes and Ladders;Snakes and Ladders v7+1.0 -FFA;com.tgs.vr.snakesandladders;7;2021-10-14 02:21 UTC;77
Sniper Elite VR;Sniper Elite VR v35713+1.03 -QU (Q1 ONLY);com.JustAddWater.SniperEliteVR;35713;2021-10-04 21:51 UTC;3290
